"조사연도","기준연도","학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"2024","2023","대구보건대학교","사립","대구","21144836201","21045776801","5109400","93950000","5871740613","1132156600","72333000","1030720996","0","69546250","3566983767","27016576814"
"2024","2023","대구사이버대학교","사립","경북","5381907750","5375307750","0","6600000","1150694852","116578000","13811250","11994252","0","10875000","997436350","6532602602"
"2024","2023","대구예술대학교","사립","경북","1242283698","1225883698","0","16400000","440790588","98174000","103271000","59245088","0","0","180100500","1683074286"
"2024","2023","대구한의대학교","사립","경북","20775510068","20107412037","273897200","394200831","8618159488","1122881010","143869240","573112588","4921000","83394000","6689981650","29393669556"
"2024","2023","대덕대학교","사립","대전","5274596171","5264819291","776880","9000000","1762444889","205829300","47370140","67228348","0","42673000","1399344101","7037041060"
"2024","2023","대동대학교","사립","부산","3885462813","3816078813","12284000","57100000","1207410234","462895500","153191000","34723044","0","11144500","545456190","5092873047"
"2024","2023","대림대학교","사립","경기","18494829666","18086186306","16627860","392015500","6957644156","1648559770","1685050800","752225624","0","129255230","2742552732","25452473822"
"2024","2023","대신대학교","사립","경북","1877727231","1842527231","0","35200000","447019654","0","170362500","26905654","0","7626000","242125500","2324746885"
"2024","2023","대원대학교","사립","충북","6011354145","5682524155","304010640","24819350","1348680850","310264000","302156000","44062770","0","16983500","675214580","7360034995"
"2024","2023","대전가톨릭대학교","사립","세종","66942960","63370000","1572960","2000000","68890000","0","67090000","1800000","0","0","0","135832960"
"2024","2023","대전과학기술대학교","사립","대전","10131043046","10025622326","3126720","102294000","3171333776","64461000","528432500","72306476","0","35490000","2470643800","13302376822"
"2024","2023","대전대학교","사립","대전","20932739593","20630740408","12349540","289649645","10279539468","2412503000","2805911920","891455342","0","10933000","4158736206","31212279061"
"2024","2023","대전보건대학교","사립","대전","12028033679","11917658879","5874800","104500000","3227559515","1124539450","673857290","652543040","0","26386000","750233735","15255593194"
"2024","2023","대전신학대학교","사립","대전","222606698","207811698","0","14795000","43890062","19092400","1000000","4594162","0","0","19203500","266496760"
"2024","2023","대진대학교","사립","경기","19002049703","18896541703","44061000","61447000","9266527521","1349850000","3563807500","284006222","0","74879000","3993984799","28268577224"
"2024","2023","덕성여자대학교","사립","서울","10278646020","9819869477","177143340","281633203","5389678646","2664549000","811738152","229015303","0","0","1684376191","15668324666"
"2024","2023","동강대학교","사립","광주","7729699623","7703253623","9000000","17446000","1499212782","44910000","80797000","40164702","0","4246000","1329095080","9228912405"
"2024","2023","동국대학교","사립","서울","27283555455","24647233791","91930760","2544390904","18585289338","5188432500","3447723420","2415423068","0","84053000","7449657350","45868844793"
"2024","2023","동국대학교(WISE)","사립","경북","18191870392","17604685938","247322950","339861504","8302998390","2210898400","1124330310","367800680","12798000","77547600","4509623400","26494868782"
"2024","2023","동남보건대학교","사립","경기","11223509030","11052375400","13731000","157402630","3844061162","1844865350","1211065400","79198562","0","31327600","677604250","15067570192"
"2024","2023","동덕여자대학교","사립","서울","14122667161","13758120914","95652420","268893827","8712682938","3887956000","2494766980","616183228","0","13568000","1700208730","22835350099"
"2024","2023","동명대학교","사립","부산","22826964464","22492212094","53230480","281521890","7771697533","1584734270","395819470","339552958","0","99528460","5352062375","30598661997"
"2024","2023","동서대학교","사립","부산","27475063019","27147985019","35930000","291148000","8869353468","3379699700","1574655567","498604700","9428000","58742700","3348222801","36344416487"
"2024","2023","동서울대학교","사립","경기","14764357948","14527146868","9747080","227464000","4589045698","1618874000","997180000","661253698","0","32820000","1278918000","19353403646"
"2024","2023","동신대학교","사립","전남","17908347910","17516521978","135400000","256425932","6584606912","221405160","16731000","352995862","1479900","79339000","5912655990","24492954822"
"2024","2023","동아대학교","사립","부산","46775048570","42925196124","252346658","3597505788","15984619257","6938702783","5869931950","962314950","0","154911200","2058758374","62759667827"
"2024","2023","동아방송예술대학교","사립","경기","8799561114","8668861314","43433140","87266660","2644009486","974455320","981468900","86659266","0","25594200","575831800","11443570600"
